Tournament,Stage,Match Type,Map,Agent,Pick Rate
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,omen,65%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,yoru,60%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,sova,60%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,neon,55%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,viper,55%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,waylay,40%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,astra,35%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,fade,30%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,killjoy,15%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,cypher,15%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,tejo,10%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,skye,10%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,phoenix,10%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,raze,10%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,harbor,10%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,kayo,5%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,jett,5%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,chamber,5%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,vyse,5%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,breach,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,deadlock,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,gekko,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,reyna,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,sage,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,iso,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,clove,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,veto,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,brimstone,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,miks,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,omen,83%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,yoru,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,sova,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,neon,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,viper,100%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,waylay,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,astra,17%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,fade,67%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,killjoy,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,cypher,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,tejo,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,skye,33%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,phoenix,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,raze,33%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,harbor,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,kayo,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,jett,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,chamber,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,vyse,17%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,breach,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,deadlock,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,gekko,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,reyna,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,sage,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,iso,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,clove,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,veto,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,brimstone,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,miks,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,omen,75%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,yoru,75%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,sova,75%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,neon,75%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,viper,25%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,waylay,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,astra,25%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,fade,25%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,killjoy,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,cypher,25%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,tejo,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,skye,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,phoenix,25%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,raze,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,harbor,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,kayo,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,jett,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,chamber,25%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,vyse,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,breach,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,deadlock,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,gekko,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,reyna,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,sage,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,iso,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,clove,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,veto,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,brimstone,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,miks,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,omen,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,yoru,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,sova,100%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,neon,25%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,viper,25%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,waylay,100%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,astra,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,fade,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,killjoy,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,cypher,25%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,tejo,25%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,skye,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,phoenix,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,raze,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,harbor,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,kayo,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,jett,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,chamber,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,vyse,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,breach,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,deadlock,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,gekko,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,reyna,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,sage,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,iso,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,clove,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,veto,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,brimstone,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,miks,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,omen,100%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,yoru,100%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,sova,100%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,neon,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,viper,100%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,waylay,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,astra,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,fade,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,killjoy,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,cypher,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,tejo,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,skye,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,phoenix,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,raze,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,harbor,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,kayo,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,jett,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,chamber,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,vyse,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,breach,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,deadlock,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,gekko,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,reyna,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,sage,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,iso,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,clove,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,veto,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,brimstone,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,miks,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,omen,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,yoru,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,sova,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,neon,100%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,viper,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,waylay,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,astra,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,fade,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,killjoy,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,cypher,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,tejo,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,skye,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,phoenix,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,raze,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,harbor,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,kayo,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,jett,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,chamber,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,vyse,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,breach,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,deadlock,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,gekko,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,reyna,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,sage,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,iso,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,clove,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,veto,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,brimstone,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,miks,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,omen,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,yoru,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,sova,100%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,neon,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,viper,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,waylay,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,astra,100%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,fade,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,killjoy,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,cypher,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,tejo,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,skye,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,phoenix,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,raze,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,harbor,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,kayo,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,jett,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,chamber,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,vyse,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,breach,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,deadlock,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,gekko,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,reyna,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,sage,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,iso,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,clove,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,veto,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,brimstone,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,miks,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,astra,60%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,viper,50%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,waylay,50%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,yoru,50%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,fade,40%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,neon,40%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,sova,40%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,omen,30%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,skye,20%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,brimstone,20%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,harbor,20%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,raze,20%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,gekko,10%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,iso,10%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,vyse,10%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,killjoy,10%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,tejo,10%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,phoenix,10%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,chamber,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,veto,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,clove,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,sage,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,reyna,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,cypher,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,breach,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,kayo,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,jett,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,deadlock,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,miks,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,astra,100%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,viper,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,waylay,100%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,yoru,50%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,fade,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,neon,50%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,sova,100%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,omen,50%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,skye,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,brimstone,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,harbor,50%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,raze,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,gekko,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,iso,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,vyse,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,killjoy,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,tejo,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,phoenix,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,chamber,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,veto,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,clove,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,sage,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,reyna,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,cypher,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,breach,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,kayo,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,jett,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,deadlock,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,miks,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,astra,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,viper,50%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,waylay,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,yoru,50%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,fade,50%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,neon,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,sova,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,omen,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,skye,50%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,brimstone,100%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,harbor,50%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,raze,100%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,gekko,50%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,iso,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,vyse,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,killjoy,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,tejo,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,phoenix,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,chamber,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,veto,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,clove,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,sage,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,reyna,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,cypher,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,breach,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,kayo,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,jett,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,deadlock,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,miks,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,astra,50%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,viper,100%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,waylay,50%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,yoru,50%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,fade,50%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,neon,50%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,sova,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,omen,50%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,skye,50%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,brimstone,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,harbor,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,raze,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,gekko,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,iso,50%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,vyse,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,killjoy,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,tejo,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,phoenix,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,chamber,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,veto,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,clove,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,sage,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,reyna,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,cypher,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,breach,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,kayo,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,jett,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,deadlock,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,miks,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Pearl,astra,100%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Pearl,viper,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Pearl,waylay,50%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Pearl,yoru,50%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Pearl,fade,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Pearl,neon,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Pearl,sova,100%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Pearl,omen,0%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Pearl,skye,0%
